to [tu]; į, pas (žymint kryptį)
in [in]; žymint vietą, verčiama vietininku
is [iz]; yra (naudojama su vienaskaita )
you [ju:]; tu, jūs
that [ðæt]; tas, anas, tai
it [it]; jis, ji (kalbant apie daiktus)/ tai
he [hi:]; jis
was [wɔz]; buvo
for [fᴐ:]; dėl, už
on [ɔn]; ant, prie
as [æz]; kai, kada
with [wið]; su, kartu
his [hiz]; jo
they [ðei]; jie, jos
I [ai]; aš
at [æt]; prie, pas
to be [bi:]; būti
this [ðis]; ši(ta)s, ši(ta)/ tai
to have [hæv]; turėti
from [frɔm]; iš/ nuo
or [ɔ:]; ar, arba
one [wΛn]; vienas
had [hæd]; turėjo
by [bai]; prie, šalia
word [wə:d]; žodis
but [bΛt]; bet, o
not [nɔt]; ne
what [wɔt]; kas? koks?
all [ɔ:l]; visas, visa, viskas
we [wi:]; mes
when [wen]; kada?
your [jɔ:]; jūsų, tavo
can [kæn]; galėti
to said [sed] ; (pa)sakė
there [ðεə] []; ten
to use [ju:z]; naudoti, pritaikyti
each [i:t∫]; kiekvienas
which [wit∫]; kuris? katras?
she [∫i:]; ji
to do [du:]; daryti
how [hau]; kaip? kokiu būdu?
their [ðεə]; jų, savo
if [if]; jei, jeigu
will [wil]; noras, ketinimas/ valia
up [Λp]; aukštyn, viršuje
other ['Λðə]; kitas
about [ə'baut]; apie
yes [jes]; taip
out [aut]; lauke, lauk(an), už (žymint kryptį)
many ['meni]; daugelis, daugybė, daug
then [ðen]; tada, tuomet
them [ðem]; juos, jas
these [ði:z]; ši(ti)e, ši(t)os
some [sΛm]; kai kas, kai kuris
her [hə:]; jai, ją
to make [meik]; (pa)daryti, (pa)dirbti, gaminti
to like [laik]; patikti, mėgti
him [him]; jam, jį
into ['intə]; į
time [taim]; laikas
to look [luk]; (pa)žiūrėti, (pa)žvelgti, atrodyti
two [tu:]; du
more [mɔ:]; daugiau, labiau
to write [rait]; rašyti
to go [gəu]; (iš)eiti
to see [si:]; (pa)matyti, regėti
number ['nΛmbə]; numeris, skaičius
no [nəu]; ne
way [wei]; kelias, būdas, metodas
could [kud]; galėti
people ['pi:pl]; žmonės
my [mai]; mano
than [ðæn]; negu, kaip, už (palyginant)
first [fə:st]; pirmas, pirmiausia
water ['wɔ:tə]; vanduo
to call [kɔ:l]; (pa)skambinti, kviesti, duoti vardą
who [hu:]; kas?, ką? (kalbant apie žmogų), kuris
oil [ɔil:]; aliejus, alyva
now [nau]; dabar, šiuo metu
find [faind]; (su)rasti, (su)ieškoti
long [lɔη]; ilgas, tolimas
down [daun]; žemyn
day [dei]; diena
to get [get]; gauti
to come [kΛm]; ateiti, atvykti, grįžti
made [meid]; pagamintas, padarytas
maybe ['meibi]; galbūt, gal
part [pa:t]; dalis, detalė
over ['əuvə]; virš, viršum
new [nju:]; naujas
sound [saund]; garsas
to take [teik]; (pa)imti, griebti
only ['əunli]; vienintelis/ tik, bet
little ['litl]; mažas, nedidelis
work [wə:k]; darbas, veikla
to work [wə:k]; dirbti, veikti
to know [nəu]; žinoti, mokėti
place [pleis]; vieta
year [jə:]; metai
to live [liv]; gyventi
me [mi:]; manęs, man
back [bæk]; nugara
to back [bæk]; važiuoti/trauktis atbulam
to give [giv]; duoti, suteikti
most [məust]; daugiausia, didžiausias
very ['veri]; labai, itin
after ['a:ftə]; po, paskui
thing [θiη]; daiktas, dalykas
great [greit]; didysis, didis, adv šnek. labai gerai/ 
where [wɜə]; kur? kame?
help [help]; pagalba
through [θru:]; per, pro/ kiaurai
much [mΛt∫]; daug/ adv labai
before [bi'fɔ:]; anksčiau, jau
line [lain];  linija, brūkšnys
right [rait]; dešinė, teisingai
too [tu:]; per daug, taip pat, irgi
to mean [mi:n]; turėti omenyje, reikšti
old [əuld]; senas
any ['eni]; kas nors, koks nors
same [seim]; tas pats, toks pat
to tell [tel]; (pa)sakyti, kalbėti, pasakoti
boy [bɔi]; berniukas
to follow ['fɔləu]; sekti, eiti
to put [put]; (pa)dėti, (pa)statyti
and [ænd]; ir, bei
another [ə'nΛðə]; kitas
well [wel]; gerai
must [mʌst]; privalo
big [big]; didelis, stambus
even ['i:vn]; net, netgi, lygus
such [sΛt∫]; toks
because [bi'kɔz]; nes, kadangi, prep (because of) dėl/
to turn [tə:n]; pa(si)sukti, apsisukti, (ap)versti
here [hiə]; čia, čia esantis
why [wai]; kodėl?
to ask [a:sk]; klausti
went [went]; ėjo/ vyko
man [mæn]; žmogus, vyras
hand [hænd]; ranka
picture ['pikt∫ə]; paveikslas, piešinys/ vaizdas
again [ə'gein]; vėl, dar
to change [t∫eindʒ]; (pa)keisti
to play [plei]; žaisti, groti
play [plei]; žaidimas
air [зə]; oras, atmosfera
away [ə'wei]; toli, šalin
