fear [fɪə]; baimė, bijojimas
field [fi:ld]; laukas, pieva, (veiklos) sritis
fight [faɪt]; kova, mūšis, muštynės
figure ['fɪgə]; skaitmuo, figūra
film [fɪlm]; filmas, plėvelė
fine1  [faɪn]; bauda
fine2 [faɪn]; geras, gražus, kokybiškas (apie daiktą)
finger ['fɪŋgə]; pirštas
finish ['fɪnɪʃ]; pabaiga, galas, finišas
fit [fɪt]; tinkamas, stiprus (apie fiz. būklę)/ priepuolis (ligos)
fly [flaɪ]; musė
floor [flɔ:]; grindys, pastato aukštas
force [fɔ:s]; galia, jėga, stiprumas
foreign ['fɔrən]; užsienio, užsienietiškas
forward ['fɔ:wəd]; į priekį, priekyje
frame [freɪm]; rėmas
free [fri:]; laisvas, nemokamas
freedom ['fri:dəm]; laisvė
frequent ['fri:kwənt]; dažnas, pasikartojantis
Friday ['fraɪdɪ]; penktadienis
fry [fraɪ]; (mėsos) kepsnys, smulkios žuvys
front [frʌnt]; priekis, priešakys, frontas
full [ful]; pilnas, kupinas, gausus (of)
further ['fə:ðə]; tolimesnis, kitas/ toliau
future ['fju:t∫ə]; ateitis
gain [geɪn]; įgijimas, pasiekimas, (pa)didėjimas
game [geɪm]; žaidimas
garden ['ga:dn]; sodas, daržas
gas [gæs]; dujos
general ['dʒenərəl]; bendras, visuotinis, įprastas
glass [gla:s]; stiklas, stiklinė
govern ['gʌvən]; valdyti, vadovauti
governor ['gʌvənə]; gubernatorius, valdytojas
green [gri:n]; žalia(s), nesunokęs
ground [graund]; žemė, dirva, (su)maltas
growth [grəuθ]; augimas, vystymasis
gun [gʌn]; šaunamasis ginklas
hair [hɜə]; plaukai
hall [hɔ:l]; salė, holas, prieškambaris
handle ['hændl]; rankena, rankenėlė
happy ['hæpɪ]; laimingas, linksmas
hardly ['ha:dlɪ]; vos (tik), beveik (ne), sunkiai
health [helθ]; sveikata
heart [ha:t]; širdis
heat [hi:t]; karštis, kaitra
heavy ['hevɪ]; sunkus, smarkus
hill [hɪl]; kalva
history ['hɪstərɪ]; istorija
hold [həuld]; laikymas, sugriebimas
home [həum]; namas, namai
honor ['ɔnə]; garbė, šlovė, pagarba
hope [həup]; viltis, tikėjimas(is)
horse [hɔ:s]; arklys
hospital ['hospɪtl]; ligoninė
hot [hɔt]; karštas, pikantiškas, aštrus (apie maistą)
hotel [həu'tel]; viešbutis
hour ['auə]; valanda, laikas (dgs.)
however [hau'evə]; vis dėlto, tačiau
human ['hju:mən]; žmogus
husband ['hʌzbənd]; vyras, sutuoktinis
ideal [aı'di:əl]; idealas, idealus, tobulas
immediate [ɪ'mi:dɪət]; neatidėliotinas, skubus
importance [ɪm'pɔ:təns]; svarba, reikšmė
inch [int∫]; colis
indeed [ɪn'di:d]; iš tikrųjų, tikrai
industry ['ɪndəstrɪ]; pramonė, industrija
influence ['ɪnfluəns]; įtaka, poveikis (on, upon, over – kam)
inside [ɪn'saɪd]; vidus, vidinė pusė, viduje
instead [ɪn'sted]; vietoj to, užuot (of)
interest ['ɪntrɪst]; domėjimas(is), interesas/ palūkanos
international [,ɪntə'næ∫nəl]; tarptautinis, internacionalas
island ['aɪlənd]; sala
yard [ja:d]; kiemas, aikštelė
yet [jet]; dar, vis dar
youth [ju:θ]; jaunystė, jaunuolis, jaunimas
judge [dʒʌdʒ]; teisėjas, arbitras
just [dʒʌst]; teisus, tik, kaip tik
justice ['dʒʌstɪs]; teisingumas, teisybė
kind1 [kaɪnd]; rūšis, veislė
kind2 [kaɪnd]; malonus, mielas, geras
knowledge ['nɔlɪdʒ]; žinojimas, mokslas, žinios
lack [læk]; trūkumas, stoka, stygius
lady ['leɪdɪ]; ponia, dama, ledi
large [la:dʒ]; didelis, stambus
law [lo:]; įstatymas, teisė, dėsnis
lead1 [li:d]; vadovavimas, iniciatyva, pirmavimas
lead2 [led]; švinas, švininis
least [li:st]; mažiausias, mažiausiai, bent (at)
leg [leg]; koja
length [leŋθ]; ilgis, atstumas
less [les]; mažiau, mažesnis (kiekis)
level ['levl]; lygis, lygmuo, pakopa
lie [laɪ]; melas, netiesa
likely ['laɪklɪ]; galimas, tikėtina(s), tikriausiai
limit ['lɪmɪt]; limitas, riba, apribojimas
literature ['lɪtərətʃə]; literatūra
live [laɪv]; gyvas, tiesiogiai (gyvai)
load [ləud]; našta, sunkenybė, krūvis
local ['ləukəl]; vietinis, vietos
lock [lɔk]; užraktas, spyna
look [luk]; (pa)žiūrėjimas, žvilgsnis, išvaizda (dgs.)
loss [lɔs]; netekimas, nuostolis, pralaimėjimas
lot [lɔt]; daug, aibė (džn. dgs)
love [lʌv]; meilė
low [ləu]; žemas, neaukštas
machine [mə'ʃi:n]; mašina, staklės
main [meɪn]; pagrindinis, svarbiausias
May [meɪ]; gegužė (mėnuo)
manner ['mænə]; būdas, metodas, maniera
manufacture [,mænju'fækt∫ə]; gamyba, gaminiai
mark [ma:k]; žymė, ženklas, pažymys
market ['ma:kɪt]; turgus, prekyvietė/ rinka
marriage ['mærɪdʒ]; santuoka, vedybos
mass [mæs]; masė, daugybė, masinis
master ['ma:stə]; šeimininkas, meistras/ magistras (laipsnis)
match1 [mætʃ]; degtukas
match2 [mætʃ]; pora (for – kam), atitikmuo, derinys
material [mə'tɪərɪəl]; medžiaga, medžiaginis, materialus
matter ['mætə]; dalykas, klausimas, reikalas
mean [mi:n]; blogas, nedoras, šykštus
measure ['meʒə]; matas, priemonė (t.p. matavimo)
medical ['medɪkl]; medicininis, gydymo, sveikatos
meet [mi:t]; susirinkimas, susitikimas
member ['membə]; narys
memory ['memərɪ]; atmintis, at(si)minimas
mention ['men∫n]; paminėjimas, užsiminimas
mere [mɪə]; (vien) tik, paprasčiausiai
middle ['mɪdl]; vidurys, vidurinis/ (ko nors) metu
mind [maɪnd]; protas
minute ['mɪnɪt]; minutė
model ['mɔdl]; modelis, maketas, pavyzdys
moment ['məumənt]; momentas, akimirka
Monday ['mʌndɪ]; pirmadienis
month [mʌnθ]; mėnuo
moral ['mɔrəl]; pamokymas, moralas, moralinis
morning ['mɔ:nɪŋ]; rytas, rytinis (dienos metas)
motor ['məutə]; variklis, motoras
mouth [mauθ]; burna
move [mu:v]; (pa)judėjimas, kraustymasis
murder ['mə:də]; žmogžudystė, (nu)žudymas
nation ['neɪ∫n]; tauta, šalis
nature ['neɪt∫ə]; gamta, prigimtis, pobūdis (of)
necessary ['nesəsərɪ]; būtinas, privalus, reikalingas
neither [naɪðə]; nei vienas (nei kitas), nei…, nei… (nor)
news [nju:z]; žinia, naujienos
newspaper ['nju:s,peɪpə]; laikraštis
none [nʌn]; niekas, nė vienas, joks
nor [nɔ:]; ir … ne, nei…, nei… (neither)
north [nɔ:θ]; šiaurė, šiaurės kryptis, šiaurinis
note [nəut]; pastaba, raštelis, banknotas
nothing ['nʌθiŋ]; niekas, nieko, nė kiek (like)
notice ['nəutɪs]; pranešimas, įspėjimas, dėmesys
object ['ɔbdʒɪkt]; dalykas, daiktas, objektas
occasion [ɔ'keɪʒn]; atvejis, kartas, proga
off [ɔf]; at-, nu-, iš- (priešdėliai), nuo (žymint atstumą)
offer ['ɔfə]; (pa)siūlymas
office ['ɔfɪs]; biuras, ofisas, tarnyba
officer ['ɔfɪsə]; pareigūnas, valdininkas
official [ə'fɪ∫l]; oficialus
open ['əupən]; atviras, atidarytas, atversta
operation [,ɔpə'rei∫n]; operacija (įv. reikšm.)
opinion [ɔ'pɪnjən]; nuomonė, požiūris
opportunity [,ɔpə'tju:nətɪ]; (palanki) proga, galimybė
order ['ɔ:də]; įsakymas, nurodymas, užsakymas
origin ['ɔrɪdʒɪn]; pradžia, ištaka, kilmė
outside ['aut'saɪd]; išorinė/lauko pusė, išorė, išorinis
pain [peɪn]; skausmas, kančia
paint [peɪnt]; dažai, dažymas
pay [peɪ]; mokestis, išmoka, alga
parent ['pɜərənt]; tėvai (tėvas, motina)
park [pa:k]; parkas
particular [pə'tɪkjulə]; tam tikras, būtent tas, konkretus
party ['pa:tɪ]; pobūvis, vakarėlis, partija
pass [pa:s]; leidimas, praėjimas, teigiamas įvertinimas
past [pa:st]; praeitis, praėjęs (laikas), ankstesnis
patient1 ['peɪʃnt]; ligonis, pacientas
patient2 ['peɪʃnt]; kantrus, ištvermingas
pattern ['pætən]; modelis, šablonas, raštas (audinio)
peace [pi:s]; taika, ramybė
per [pə]; per, už (apie kiekį), pagal (as)
performance [pə'fɔ:məns]; (į)vykdymas, atlikimas (pareigų, spektaklio)
perhaps [pə'hæps]; galbūt, gal, galimas dalykas
person ['pə:sn]; asmuo, asmenybė, žmogus
piece [pi:s]; gabalas, dalis, kūrinys (meno)
plan [plæn]; planas, schema
please [pli:z]; prašom!, prašau!
poem ['pəuɪm]; poema, eilėraštis
police [pə'li:s]; policija
political [pə'lɪtɪkl]; politinis, politikos, valstybinis
pool [pu:l]; baseinas
poor [puə]; neturtingas, vargšas, prastas
popular ['pɔpjulə]; populiarus
population [,pɔpju'leɪʃn]; gyventojai, gyventojų skaičius
position [pə'zɪ∫n]; padėtis, pozicija, vieta
possible ['pɔsəbl]; galimas, įmanomas
post [pəust]; paštas, postas, tarnyba
pound [paund]; svaras (sterlingų)
power ['pauə]; jėga, stiprumas, energija
practical ['præktɪkl]; praktiškas, praktinis
present ['preznt]; dovana, dabartis, esamas (esantis)
press [pres]; spauda, spustelėjimas
pressure ['preʃə]; (su)spaudimas, slėgimas, įtampa
pretty ['prɪtɪ]; gražus, dailus, ganėtinai
price [praɪs]; kaina, vertė
private ['praɪvɪt]; privatus, asmeniškas
probable ['prɔbəbl]; galimas, tikėtinas
production [prə'dʌk∫n]; gamyba, gaminimas, produkcija
profession [prə'feʃn]; profesija
program ['prəugræm]; programa
progress ['prəugres]; progresas, vystymasis
promise ['prɔmɪs]; pažadas, pri(si)žadėjimas
proper ['prɔpə]; (pri)deramas, tinkamas, reikiamas
property ['prɔpətɪ]; nuosavybė, turtas
public ['pʌblɪk]; viešas, atviras, visiems žinomas
pure [pjuə]; grynas, tyras
purpose ['pə:pəs]; tikslas, paskirtis, ketinimas
push [puʃ]; stūmimas, stumtelėjimas, postūmis
quality ['kwɔlətɪ]; kokybė, rūšis, savybė
quick [kwɪk]; greitas, spartus
quiet ['kwaɪət]; ramus, tylus, ramybė
quite [kwaɪt]; gana, ganėtinai, visai
race [reɪs]; lenktynės, varžybos
radio ['reɪdɪəu]; radijas
raise [reɪz]; pakėlimas, padidinimas (algos)
rapid ['ræpɪd]; greitas, spartus
rate [reɪt]; tempas, greitis, dažnis
rather ['ra:ðə]; gana, gerokai, verčiau (than)
ready ['redɪ]; pasiruošęs, pasirengęs, paruoštas
reason ['rɪ:zn]; priežastis, pagrindas, motyvas
reasonable ['ri:znəbl]; protingas, supratingas, pagrįstas
recent ['ri:snt]; nesenas, naujas, pastaras(is)
record ['rekɔ:d]; įrašas, aprašymas (įvykių, faktų), rekordas
red [red]; raudona spalva
refuse ['refju:z]; šiukšlės, liekanos, likučiai
regard [rɪ'ga:d]; dėmesys, paisymas, pagarba
